Row ID,Order ID,Order Date,Ship Date,Ship Mode,Order Priority,Customer ID,Customer Name,Customer Tenure Group,Customer Age Group,Segment,Country,City,State,Postal Code,Region,Sales Channel,Payment Method,Returned,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Delivery Days,Order Year,Order Month,Month Name,Year-Month,Quarter,Profit Margin %,Revenue Per Unit,Order Value Segment,Profit Status,Sales Capped,Profit Capped
34,CA-2024-100033,2024-01-23,2024-01-26,Same Day,Medium,CUST-3524,Iqra Butt,New,36-45,Home Office,United States,Los Angeles,California,90001.0,West,Corporate Portal,Credit Card,No,OFF-AR-2004,Office Supplies,Art,Marker Set,5.0,1,0.1,0.93,3,2024,1,Jan,2024-01,2024Q1,18.6,5.0,Very Low,Profitable,5.1332,0.93
35,CA-2024-100034,2024-08-23,2024-08-28,First Class,Medium,CUST-3120,Sara Rana,1-2 Years,36-45,Home Office,United States,New York City,New York,10001.0,East,Online,Credit Card,No,TEC-AC-3002,Technology,Accessories,Wireless Mouse,35.59,2,0.2,2.64,5,2024,8,Aug,2024-08,2024Q3,7.417813992694578,17.795,Very Low,Profitable,35.59,2.64
36,CA-2023-100035,2023-11-12,2023-11-14,Standard Class,Medium,CUST-6260,Ahmed Siddiqui,New,36-45,Consumer,United States,Los Angeles,California,90001.0,West,Retail Store,Credit Card,No,TEC-MA-3004,Technology,Machines,Document Scanner,1769.63,4,0.1,184.95,2,2023,11,Nov,2023-11,2023Q4,10.451337285195208,442.4075,Premium,Profitable,1769.63,184.95
37,CA-2023-100036,2023-01-14,2023-01-19,Same Day,High,CUST-5357,Hamza Ahmed,3-5 Years,36-45,Consumer,United States,Boston,Massachusetts,2108.0,East,Retail Store,PayPal,No,FUR-CH-1001,Furniture,Chairs,Ergonomic Office Chair,325.79,3,0.0,-8.83,5,2023,1,Jan,2023-01,2023Q1,-2.7103348782958347,108.59666666666668,Medium,Loss-Making,325.79,-8.83
38,CA-2023-100037,2023-08-30,2023-09-09,Standard Class,Low,CUST-2363,Ammar Qureshi,5+ Years,18-25,Home Office,United States,Miami,Florida,33101.0,South,Partner Reseller,PayPal,No,OFF-ST-2003,Office Supplies,Storage,Plastic Storage Box,99.97,5,0.15,4.91,10,2023,8,Aug,2023-08,2023Q3,4.9114734420326105,19.994,Very Low,Profitable,99.97,4.91
39,CA-2025-100038,2025-02-15,2025-02-16,First Class,Low,CUST-3292,Mariam Nawaz,New,18-25,Consumer,United States,Newark,New Jersey,7102.0,East,Online,Bank Transfer,No,FUR-BO-1003,Furniture,Bookcases,Wooden Bookcase,200.36,1,0.0,20.14,1,2025,2,Feb,2025-02,2025Q1,10.05190656817728,200.36,Low,Profitable,200.36,20.14
40,CA-2024-100039,2024-07-18,2024-07-27,First Class,Medium,CUST-2538,Mariam Siddiqui,1-2 Years,26-35,Home Office,United States,Portland,Oregon,97201.0,West,Online,Credit Card,No,FUR-TA-1002,Furniture,Tables,Executive Conference Table,324.87,1,0.2,-46.11,9,2024,7,Jul,2024-07,2024Q3,-14.19336965555453,324.87,Medium,Loss-Making,324.87,-46.11
41,CA-2025-100040,2025-06-16,2025-06-19,Same Day,Low,CUST-4408,Ammar Chaudhry,5+ Years,36-45,Home Office,United States,Chicago,Illinois,60601.0,Central,Online,Bank Transfer,No,FUR-CH-1001,Furniture,Chairs,Ergonomic Office Chair,112.12,1,0.4,-12.94,3,2025,6,Jun,2025-06,2025Q2,-11.541205850874062,112.12,Low,Loss-Making,112.12,-12.94
42,CA-2023-100041,2023-04-02,2023-04-09,Second Class,Medium,CUST-8742,Fatima Iqbal,New,46-60,Corporate,United States,Chicago,Illinois,60601.0,Central,Online,Bank Transfer,No,TEC-AC-3002,Technology,Accessories,Wireless Mouse,61.03,2,0.05,15.98,7,2023,4,Apr,2023-04,2023Q2,26.18384401114206,30.515,Very Low,Profitable,61.03,15.98
43,CA-2025-100042,2025-08-13,2025-08-19,First Class,Low,CUST-9752,Hassaan Hassan,1-2 Years,18-25,Corporate,United States,Charlotte,North Carolina,28201.0,South,Retail Store,Bank Transfer,No,OFF-PA-2001,Office Supplies,Paper,Premium Copy Paper,45.0,3,0.1,6.29,6,2025,8,Aug,2025-08,2025Q3,13.977777777777778,15.0,Very Low,Profitable,45.0,6.29
44,CA-2024-100043,2024-05-23,2024-05-27,Same Day,Low,CUST-2903,Ayesha Khan,1-2 Years,26-35,Corporate,United States,Miami,Florida,33101.0,South,Online,Credit Card,No,TEC-CO-3003,Technology,Copiers,Laser Copier,4644.97,6,0.0,1021.31,4,2024,5,May,2024-05,2024Q2,21.987440177223963,774.1616666666667,Premium,Profitable,4644.97,1021.31
45,CA-2025-100044,2025-02-14,2025-02-20,First Class,Low,CUST-1174,Noor Attari,New,26-35,Consumer,United States,Phoenix,Arizona,85001.0,West,Online,Cash on Delivery,No,FUR-BO-1003,Furniture,Bookcases,Wooden Bookcase,2848.07,8,0.0,369.39,6,2025,2,Feb,2025-02,2025Q1,12.969835713307607,356.00875,Premium,Profitable,2848.07,369.39
46,CA-2023-100045,2023-02-04,2023-02-11,Second Class,High,CUST-3230,Noor Iqbal,New,46-60,Home Office,United States,Minneapolis,Minnesota,55401.0,Central,Corporate Portal,Bank Transfer,No,TEC-AC-3002,Technology,Accessories,Wireless Mouse,395.2,7,0.3,7.15,7,2023,2,Feb,2023-02,2023Q1,1.8092105263157896,56.457142857142856,Medium,Profitable,395.2,7.15
47,CA-2023-100046,2023-07-25,2023-07-28,First Class,High,CUST-5287,Faraha Butt,5+ Years,46-60,Corporate,United States,Boston,Massachusetts,2108.0,East,Retail Store,Cash on Delivery,No,OFF-LA-2005,Office Supplies,Labels,Address Labels,26.31,2,0.0,1.93,3,2023,7,Jul,2023-07,2023Q3,7.33561383504371,13.155,Very Low,Profitable,26.31,1.93
48,CA-2025-100047,2025-10-22,2025-10-25,Same Day,Low,CUST-5160,Rehan Azeem,1-2 Years,26-35,Consumer,United States,Portland,Oregon,97201.0,West,Online,Credit Card,No,TEC-AC-3002,Technology,Accessories,Wireless Mouse,48.36,3,0.1,12.08,3,2025,10,Oct,2025-10,2025Q4,24.9793217535153,16.12,Very Low,Profitable,48.36,12.08
49,CA-2025-100048,2025-10-18,2025-10-23,Standard Class,High,CUST-8106,Fatima Rana,1-2 Years,36-45,Consumer,United States,Minneapolis,Minnesota,55401.0,Central,Online,Credit Card,No,OFF-LA-2005,Office Supplies,Labels,Address Labels,5.96,2,0.2,0.67,5,2025,10,Oct,2025-10,2025Q4,11.241610738255034,2.98,Very Low,Profitable,5.96,0.67
50,CA-2024-100049,2024-07-19,2024-07-25,Same Day,Medium,CUST-4171,Rehan Azeem,1-2 Years,36-45,Consumer,United States,Portland,Oregon,97201.0,West,Online,Credit Card,No,TEC-AC-3002,Technology,Accessories,Wireless Mouse,48.52,2,0.25,1.23,6,2024,7,Jul,2024-07,2024Q3,2.5350370981038743,24.26,Very Low,Profitable,48.52,1.23
51,CA-2024-100050,2024-12-03,2024-12-09,First Class,Medium,CUST-2567,Ammar Qureshi,3-5 Years,26-35,Corporate,United States,Chicago,Illinois,60601.0,Central,Partner Reseller,PayPal,No,OFF-AR-2004,Office Supplies,Art,Marker Set,45.15,4,0.1,-2.81,6,2024,12,Dec,2024-12,2024Q4,-6.2236987818383165,11.2875,Very Low,Loss-Making,45.15,-2.81
52,CA-2024-100051,2024-02-06,2024-02-12,First Class,Medium,CUST-2151,Hamza Attari,1-2 Years,26-35,Corporate,United States,Boston,Massachusetts,2108.0,East,Corporate Portal,Credit Card,No,FUR-FU-1004,Furniture,Furnishings,Desk Lamp,69.02,1,0.1,-1.38,6,2024,2,Feb,2024-02,2024Q1,-1.9994204578383075,69.02,Very Low,Loss-Making,69.02,-1.38
53,CA-2024-100052,2024-12-30,2025-01-02,First Class,Low,CUST-8619,Mariam Nawaz,New,36-45,Consumer,United States,Detroit,Michigan,48201.0,Central,Corporate Portal,PayPal,No,OFF-PA-2001,Office Supplies,Paper,Premium Copy Paper,32.38,2,0.15,3.58,3,2024,12,Dec,2024-12,2024Q4,11.05620753551575,16.19,Very Low,Profitable,32.38,3.58
54,CA-2023-100053,2023-06-11,2023-06-17,Same Day,High,CUST-7033,Hamza Hassan,New,18-25,Home Office,United States,Newark,New Jersey,7102.0,East,Corporate Portal,PayPal,Yes,FUR-BO-1003,Furniture,Bookcases,Wooden Bookcase,1228.19,9,0.3,-342.24,6,2023,6,Jun,2023-06,2023Q2,-27.86539541927552,136.46555555555557,High,Loss-Making,1228.19,-303.0388
55,CA-2023-100054,2023-07-21,2023-07-23,Second Class,Low,CUST-9560,Mariam Qureshi,3-5 Years,26-35,Consumer,United States,Minneapolis,Minnesota,55401.0,Central,Online,Bank Transfer,No,FUR-FU-1004,Furniture,Furnishings,Desk Lamp,86.61,3,0.15,3.76,2,2023,7,Jul,2023-07,2023Q3,4.341300080822076,28.87,Very Low,Profitable,86.61,3.76
56,CA-2025-100055,2025-09-22,2025-09-26,Standard Class,Critical,CUST-5946,Mariam Qureshi,New,26-35,Consumer,United States,New York City,New York,10001.0,East,Online,Bank Transfer,No,OFF-AR-2004,Office Supplies,Art,Marker Set,22.43,3,0.1,4.52,4,2025,9,Sep,2025-09,2025Q3,20.15158270173874,7.476666666666667,Very Low,Profitable,22.43,4.52
57,CA-2023-100056,2023-09-27,2023-09-28,Second Class,Low,CUST-9234,Abdullah Rauf,New,36-45,Consumer,United States,St. Louis,Missouri,63101.0,Central,Online,PayPal,No,OFF-AR-2004,Office Supplies,Art,Marker Set,7.93,1,0.0,0.97,1,2023,9,Sep,2023-09,2023Q3,12.232030264817151,7.93,Very Low,Profitable,7.93,0.97
58,CA-2025-100057,2025-03-26,2025-03-29,Second Class,Medium,CUST-2907,Hassaan Hassan,1-2 Years,46-60,Home Office,United States,Charlotte,North Carolina,28201.0,South,Retail Store,Bank Transfer,No,OFF-BI-2002,Office Supplies,Binders,Heavy Duty Binder,44.12,2,0.0,6.56,3,2025,3,Mar,2025-03,2025Q1,14.86854034451496,22.06,Very Low,Profitable,44.12,6.56
59,CA-2024-100058,2024-03-31,2024-04-03,First Class,High,CUST-4490,Fatima Rana,New,36-45,Corporate,United States,Columbus,Ohio,43215.0,East,Corporate Portal,Credit Card,No,TEC-CO-3003,Technology,Copiers,Laser Copier,2689.73,7,0.1,545.46,3,2024,3,Mar,2024-03,2024Q1,20.279358894758957,384.2471428571429,Premium,Profitable,2689.73,545.46
60,CA-2025-100059,2025-10-13,2025-10-16,Same Day,Low,CUST-3535,Faraha Khan,5+ Years,18-25,Corporate,United States,Miami,Florida,33101.0,South,Online,PayPal,No,TEC-PR-3005,Technology,Printers,Inkjet Printer,290.94,1,0.3,-6.57,3,2025,10,Oct,2025-10,2025Q4,-2.2581975665085583,290.94,Low,Loss-Making,290.94,-6.57
61,CA-2023-100060,2023-10-23,2023-10-28,Standard Class,Medium,CUST-5173,Hassaan Hassan,3-5 Years,18-25,Home Office,United States,Columbus,Ohio,43215.0,East,Retail Store,PayPal,No,FUR-TA-1002,Furniture,Tables,Executive Conference Table,4628.84,3,0.25,-401.99,5,2023,10,Oct,2023-10,2023Q4,-8.684465222388331,1542.9466666666667,Premium,Loss-Making,4628.84,-303.0388
62,CA-2024-100061,2024-12-20,2024-12-23,Same Day,Medium,CUST-2293,Faraha Iqbal,New,36-45,Home Office,United States,Richmond,Virginia,23219.0,South,Partner Reseller,Credit Card,No,FUR-TA-1002,Furniture,Tables,Executive Conference Table,449.17,1,0.4,-13.43,3,2024,12,Dec,2024-12,2024Q4,-2.9899592581873233,449.17,Medium,Loss-Making,449.17,-13.43
63,CA-2023-100062,2023-12-04,2023-12-08,Same Day,Medium,CUST-5769,Fatima Rana,New,26-35,Consumer,United States,Philadelphia,Pennsylvania,19104.0,East,Online,Cash on Delivery,No,TEC-CO-3003,Technology,Copiers,Laser Copier,3716.76,3,0.1,561.07,4,2023,12,Dec,2023-12,2023Q4,15.095674727450792,1238.92,Premium,Profitable,3716.76,561.07
64,CA-2025-100063,2025-05-28,2025-05-30,Second Class,Medium,CUST-5796,Iqra Khan,1-2 Years,36-45,Consumer,United States,Boston,Massachusetts,2108.0,East,Corporate Portal,Credit Card,No,OFF-LA-2005,Office Supplies,Labels,Address Labels,5.0,1,0.2,0.28,2,2025,5,May,2025-05,2025Q2,5.6000000000000005,5.0,Very Low,Profitable,5.1332,0.28
65,CA-2025-100064,2025-12-12,2025-12-15,Same Day,Low,CUST-7871,Hamza Qureshi,1-2 Years,26-35,Consumer,United States,Minneapolis,Minnesota,55401.0,Central,Online,Credit Card,No,OFF-PA-2001,Office Supplies,Paper,Premium Copy Paper,136.53,7,0.25,3.78,3,2025,12,Dec,2025-12,2025Q4,2.768622280817403,19.504285714285714,Low,Profitable,136.53,3.78
66,CA-2025-100065,2025-03-02,2025-03-04,Same Day,Medium,CUST-3972,Rehan Nawaz,3-5 Years,46-60,Corporate,United States,Phoenix,Arizona,85001.0,West,Online,Credit Card,No,TEC-PH-3001,Technology,Phones,Smart Office Phone,2007.76,7,0.15,412.12,2,2025,3,Mar,2025-03,2025Q1,20.52635773199984,286.8228571428571,Premium,Profitable,2007.76,412.12
67,CA-2023-100066,2023-08-05,2023-08-06,Standard Class,Medium,CUST-4922,Danish Rauf,1-2 Years,46-60,Consumer,United States,Minneapolis,Minnesota,55401.0,Central,Online,Credit Card,Yes,TEC-MA-3004,Technology,Machines,Document Scanner,589.36,6,0.05,14.07,1,2023,8,Aug,2023-08,2023Q3,2.387335414687118,98.22666666666667,Medium,Profitable,589.36,14.07
68,CA-2025-100067,2025-02-02,2025-02-07,Same Day,Medium,CUST-5997,Ayesha Siddiqui,1-2 Years,46-60,Consumer,United States,San Francisco,California,94102.0,West,Retail Store,PayPal,No,FUR-TA-1002,Furniture,Tables,Executive Conference Table,764.33,2,0.1,56.49,5,2025,2,Feb,2025-02,2025Q1,7.390786702078945,382.165,High,Profitable,764.33,56.49
69,CA-2023-100068,2023-07-07,2023-07-12,Standard Class,Medium,CUST-8032,Danish Rauf,5+ Years,26-35,Home Office,United States,Chicago,Illinois,60601.0,Central,Retail Store,Cash on Delivery,No,FUR-BO-1003,Furniture,Bookcases,Wooden Bookcase,730.57,7,0.25,53.17,5,2023,7,Jul,2023-07,2023Q3,7.2778789164624875,104.36714285714287,High,Profitable,730.57,53.17
70,CA-2024-100069,2024-01-15,2024-01-20,Same Day,Medium,CUST-1992,Hassaan Hassan,1-2 Years,36-45,Corporate,United States,Minneapolis,Minnesota,55401.0,Central,Online,PayPal,No,OFF-BI-2002,Office Supplies,Binders,Heavy Duty Binder,114.38,4,0.0,29.57,5,2024,1,Jan,2024-01,2024Q1,25.852421752054553,28.595,Low,Profitable,114.38,29.57
