Row ID,Order ID,Order Date,Ship Date,Ship Mode,Order Priority,Customer ID,Customer Name,Customer Tenure Group,Customer Age Group,Segment,Country,City,State,Postal Code,Region,Sales Channel,Payment Method,Returned,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
15,CA-2024-100014,2024-04-04,2024-04-05,Same Day,Critical,CUST-6754,Hina Khan,New,60+,Corporate,United States,St. Louis,Missouri,63101.0,Central,Retail Store,Bank Transfer,No,TEC-PR-3005,Technology,Printers,,657.75,2,0.0,153.15
16,CA-2023-100015,2023-01-22,2023-01-27,Second Class,Critical,CUST-3800,Faraha Butt,New,36-45,Corporate,United States,Newark,New Jersey,7102.0,East,Corporate Portal,Credit Card,No,FUR-CH-1001,Furniture,Chairs,Ergonomic Office Chair,395.39,2,0.15,76.38
17,CA-2023-100016,2023-09-10,2023-09-14,First Class,Low,CUST-6310,Ammar Chaudhry,New,26-35,Home Office,United States,Boston,Massachusetts,2108.0,East,Retail Store,Credit Card,No,FUR-TA-1002,Furniture,Tables,Executive Conference Table,2483.71,5,0.0,-108.55
18,CA-2025-100017,2025-01-17,2025-01-24,Same Day,Critical,CUST-3610,Ahmed Butt,3-5 Years,36-45,Home Office,United States,Philadelphia,Pennsylvania,19104.0,East,Retail Store,Credit Card,No,OFF-LA-2005,Office Supplies,Labels,Address Labels,20.58,2,0.05,0.93
19,CA-2025-100018,2025-05-06,2025-05-08,Standard Class,Medium,CUST-2104,Hassaan Attari,New,18-25,Consumer,United States,Philadelphia,Pennsylvania,19104.0,East,Retail Store,Bank Transfer,No,FUR-TA-1002,Furniture,Tables,Executive Conference Table,5500.0,11,0.0,354.43
20,CA-2024-100019,2024-04-19,2024-04-24,Standard Class,Medium,CUST-8361,Mariam Qureshi,5+ Years,26-35,Consumer,United States,New York City,New York,10001.0,East,Retail Store,Bank Transfer,No,OFF-AR-2004,Office Supplies,Art,Marker Set,9.42,2,0.0,2.2
21,CA-2024-100020,2024-05-25,2024-06-01,First Class,Low,CUST-5199,Noor Butt,New,26-35,Home Office,United States,Detroit,Michigan,48201.0,Central,Online,Credit Card,No,TEC-CO-3003,Technology,Copiers,Laser Copier,491.33,3,0.1,212.48
22,CA-2024-100021,2024-11-30,2024-12-08,First Class,High,CUST-4854,Fatima Malik,3-5 Years,26-35,Corporate,United States,Charlotte,North Carolina,28201.0,South,Online,Cash on Delivery,No,TEC-PR-3005,Technology,Printers,Inkjet Printer,297.18,4,0.3,24.89
23,CA-2025-100022,2025-09-02,2025-09-07,First Class,Medium,CUST-8263,Noor Attari,3-5 Years,46-60,Consumer,United States,San Francisco,California,94102.0,West,Online,Credit Card,No,TEC-CO-3003,Technology,Copiers,Laser Copier,5500.0,7,0.0,326.82
24,CA-2023-100023,2023-07-09,2023-07-13,Same Day,Medium,CUST-2914,Hassaan Hassan,1-2 Years,46-60,Home Office,United States,Los Angeles,California,90001.0,West,Online,Bank Transfer,No,OFF-ST-2003,Office Supplies,Storage,Plastic Storage Box,249.44,3,0.05,20.29
25,CA-2025-100024,2025-08-15,2025-08-20,Second Class,High,CUST-8365,Mariam Nawaz,1-2 Years,26-35,Consumer,United States,Charlotte,North Carolina,28201.0,South,Retail Store,Credit Card,No,TEC-CO-3003,Technology,Copiers,Laser Copier,4133.94,3,0.15,268.75
26,CA-2024-100025,2024-11-17,2024-11-24,Same Day,Medium,CUST-4072,Ayesha Khan,1-2 Years,26-35,Corporate,United States,New York City,New York,10001.0,East,Online,Bank Transfer,No,TEC-AC-3002,Technology,Accessories,Wireless Mouse,382.11,11,0.1,78.61
27,CA-2025-100026,2025-08-15,2025-08-19,First Class,Medium,CUST-1406,Ayesha Rauf,3-5 Years,18-25,Corporate,United States,Los Angeles,California,90001.0,West,Online,PayPal,No,TEC-CO-3003,Technology,Copiers,Laser Copier,905.51,1,0.2,123.29
28,CA-2024-100027,2024-07-16,2024-07-17,First Class,High,CUST-1166,Noor Iqbal,1-2 Years,46-60,Home Office,United States,Richmond,Virginia,23219.0,South,Online,Bank Transfer,No,TEC-AC-3002,Technology,Accessories,Wireless Mouse,499.63,8,0.0,53.29
29,CA-2025-100028,2025-04-11,2025-04-19,Same Day,High,CUST-1508,Hassaan Rana,New,26-35,Corporate,United States,Boston,Massachusetts,2108.0,East,Retail Store,Credit Card,No,FUR-CH-1001,Furniture,Chairs,Ergonomic Office Chair,152.82,1,0.3,-17.22
30,CA-2024-100029,2024-10-08,2024-10-13,Second Class,Critical,CUST-2661,Noor Iqbal,1-2 Years,26-35,Home Office,United States,San Francisco,California,94102.0,West,Online,Credit Card,No,OFF-ST-2003,Office Supplies,Storage,Plastic Storage Box,217.27,6,0.05,17.42
31,CA-2023-100030,2023-01-21,2023-01-26,Same Day,Critical,CUST-4664,Abdullah Rauf,New,26-35,Consumer,United States,Phoenix,Arizona,85001.0,West,Online,PayPal,No,OFF-ST-2003,Office Supplies,Storage,Plastic Storage Box,122.59,5,0.05,11.01
32,CA-2025-100031,2025-04-20,2025-04-22,Standard Class,Medium,CUST-4489,Iqra Khan,5+ Years,26-35,Consumer,United States,St. Louis,Missouri,63101.0,Central,Online,Credit Card,No,OFF-BI-2002,Office Supplies,Binders,Heavy Duty Binder,86.05,3,0.25,1.86
33,CA-2023-100032,2023-06-16,2023-06-21,First Class,Medium,CUST-1680,Hamza Hassan,3-5 Years,36-45,Home Office,United States,Seattle,Washington,98101.0,West,Online,Credit Card,No,FUR-BO-1003,Furniture,Bookcases,Wooden Bookcase,2929.17,8,0.1,122.76
34,CA-2024-100033,2024-01-23,2024-01-26,Same Day,Medium,CUST-3524,Iqra Butt,New,36-45,Home Office,United States,Los Angeles,California,90001.0,West,Corporate Portal,Credit Card,No,OFF-AR-2004,Office Supplies,Art,Marker Set,5.0,1,0.1,0.93
35,CA-2024-100034,2024-08-23,2024-08-28,First Class,Medium,CUST-3120,Sara Rana,1-2 Years,36-45,Home Office,United States,New York City,New York,10001.0,East,Online,Credit Card,No,TEC-AC-3002,Technology,Accessories,Wireless Mouse,35.59,2,0.2,2.64
36,CA-2023-100035,2023-11-12,2023-11-14,Standard Class,Medium,CUST-6260,Ahmed Siddiqui,New,36-45,Consumer,United States,Los Angeles,California,90001.0,West,Retail Store,Credit Card,No,TEC-MA-3004,Technology,Machines,Document Scanner,1769.63,4,0.1,184.95
37,CA-2023-100036,2023-01-14,2023-01-19,Same Day,High,CUST-5357,Hamza Ahmed,3-5 Years,36-45,Consumer,United States,Boston,Massachusetts,2108.0,East,Retail Store,PayPal,No,FUR-CH-1001,Furniture,Chairs,Ergonomic Office Chair,325.79,3,0.0,-8.83
38,CA-2023-100037,2023-08-30,2023-09-09,Standard Class,Low,CUST-2363,Ammar Qureshi,5+ Years,18-25,Home Office,United States,Miami,Florida,33101.0,South,Partner Reseller,PayPal,No,OFF-ST-2003,Office Supplies,Storage,Plastic Storage Box,99.97,5,0.15,4.91
39,CA-2025-100038,2025-02-15,2025-02-16,First Class,Low,CUST-3292,Mariam Nawaz,New,18-25,Consumer,United States,Newark,New Jersey,7102.0,East,Online,Bank Transfer,No,FUR-BO-1003,Furniture,Bookcases,Wooden Bookcase,200.36,1,0.0,20.14
40,CA-2024-100039,2024-07-18,2024-07-27,First Class,Medium,CUST-2538,Mariam Siddiqui,1-2 Years,26-35,Home Office,United States,Portland,Oregon,97201.0,West,Online,Credit Card,No,FUR-TA-1002,Furniture,Tables,Executive Conference Table,324.87,1,0.2,-46.11
41,CA-2025-100040,2025-06-16,2025-06-19,Same Day,Low,CUST-4408,Ammar Chaudhry,5+ Years,36-45,Home Office,United States,Chicago,Illinois,60601.0,Central,Online,Bank Transfer,No,FUR-CH-1001,Furniture,Chairs,Ergonomic Office Chair,112.12,1,0.4,-12.94
42,CA-2023-100041,2023-04-02,2023-04-09,Second Class,Medium,CUST-8742,Fatima Iqbal,New,46-60,Corporate,United States,Chicago,Illinois,60601.0,Central,Online,Bank Transfer,No,TEC-AC-3002,Technology,Accessories,Wireless Mouse,61.03,2,0.05,15.98
43,CA-2025-100042,2025-08-13,2025-08-19,First Class,Low,CUST-9752,Hassaan Hassan,1-2 Years,18-25,Corporate,United States,Charlotte,North Carolina,28201.0,South,Retail Store,Bank Transfer,No,OFF-PA-2001,Office Supplies,Paper,Premium Copy Paper,45.0,3,0.1,6.29
44,CA-2024-100043,2024-05-23,2024-05-27,Same Day,Low,CUST-2903,Ayesha Khan,1-2 Years,26-35,Corporate,United States,Miami,Florida,33101.0,South,Online,Credit Card,No,TEC-CO-3003,Technology,Copiers,Laser Copier,4644.97,6,0.0,1021.31
45,CA-2025-100044,2025-02-14,2025-02-20,First Class,Low,CUST-1174,Noor Attari,New,26-35,Consumer,United States,Phoenix,Arizona,85001.0,West,Online,Cash on Delivery,No,FUR-BO-1003,Furniture,Bookcases,Wooden Bookcase,2848.07,8,0.0,369.39
46,CA-2023-100045,2023-02-04,2023-02-11,Second Class,High,CUST-3230,Noor Iqbal,New,46-60,Home Office,United States,Minneapolis,Minnesota,55401.0,Central,Corporate Portal,Bank Transfer,No,TEC-AC-3002,Technology,Accessories,Wireless Mouse,395.2,7,0.3,7.15
47,CA-2023-100046,2023-07-25,2023-07-28,First Class,High,CUST-5287,Faraha Butt,5+ Years,46-60,Corporate,United States,Boston,Massachusetts,2108.0,East,Retail Store,Cash on Delivery,No,OFF-LA-2005,Office Supplies,Labels,Address Labels,26.31,2,0.0,1.93
48,CA-2025-100047,2025-10-22,2025-10-25,Same Day,Low,CUST-5160,Rehan Azeem,1-2 Years,26-35,Consumer,United States,Portland,Oregon,97201.0,West,Online,Credit Card,No,TEC-AC-3002,Technology,Accessories,Wireless Mouse,48.36,3,0.1,12.08
49,CA-2025-100048,2025-10-18,2025-10-23,Standard Class,High,CUST-8106,Fatima Rana,1-2 Years,36-45,Consumer,United States,Minneapolis,Minnesota,55401.0,Central,Online,Credit Card,No,OFF-LA-2005,Office Supplies,Labels,Address Labels,5.96,2,0.2,0.67
50,CA-2024-100049,2024-07-19,2024-07-25,Same Day,Medium,CUST-4171,Rehan Azeem,1-2 Years,36-45,Consumer,United States,Portland,Oregon,97201.0,West,Online,Credit Card,No,TEC-AC-3002,Technology,Accessories,Wireless Mouse,48.52,2,0.25,1.23
51,CA-2024-100050,2024-12-03,2024-12-09,First Class,Medium,CUST-2567,Ammar Qureshi,3-5 Years,26-35,Corporate,United States,Chicago,Illinois,60601.0,Central,Partner Reseller,PayPal,No,OFF-AR-2004,Office Supplies,Art,Marker Set,45.15,4,0.1,-2.81
52,CA-2024-100051,2024-02-06,2024-02-12,First Class,Medium,CUST-2151,Hamza Attari,1-2 Years,26-35,Corporate,United States,Boston,Massachusetts,2108.0,East,Corporate Portal,Credit Card,No,FUR-FU-1004,Furniture,Furnishings,Desk Lamp,69.02,1,0.1,-1.38
53,CA-2024-100052,2024-12-30,2025-01-02,First Class,Low,CUST-8619,Mariam Nawaz,New,36-45,Consumer,United States,Detroit,Michigan,48201.0,Central,Corporate Portal,PayPal,No,OFF-PA-2001,Office Supplies,Paper,Premium Copy Paper,32.38,2,0.15,3.58
54,CA-2023-100053,2023-06-11,2023-06-17,Same Day,High,CUST-7033,Hamza Hassan,New,18-25,Home Office,United States,Newark,New Jersey,7102.0,East,Corporate Portal,PayPal,Yes,FUR-BO-1003,Furniture,Bookcases,Wooden Bookcase,1228.19,9,0.3,-342.24
55,CA-2023-100054,2023-07-21,2023-07-23,Second Class,Low,CUST-9560,Mariam Qureshi,3-5 Years,26-35,Consumer,United States,Minneapolis,Minnesota,55401.0,Central,Online,Bank Transfer,No,FUR-FU-1004,Furniture,Furnishings,Desk Lamp,86.61,3,0.15,3.76
56,CA-2025-100055,2025-09-22,2025-09-26,Standard Class,Critical,CUST-5946,Mariam Qureshi,New,26-35,Consumer,United States,New York City,New York,10001.0,East,Online,Bank Transfer,No,OFF-AR-2004,Office Supplies,Art,Marker Set,22.43,3,0.1,4.52
57,CA-2023-100056,2023-09-27,2023-09-28,Second Class,Low,CUST-9234,Abdullah Rauf,New,36-45,Consumer,United States,St. Louis,Missouri,63101.0,Central,Online,PayPal,No,OFF-AR-2004,Office Supplies,Art,Marker Set,7.93,1,0.0,0.97
58,CA-2025-100057,2025-03-26,2025-03-29,Second Class,Medium,CUST-2907,Hassaan Hassan,1-2 Years,46-60,Home Office,United States,Charlotte,North Carolina,28201.0,South,Retail Store,Bank Transfer,No,OFF-BI-2002,Office Supplies,Binders,Heavy Duty Binder,44.12,2,0.0,6.56
59,CA-2024-100058,2024-03-31,2024-04-03,First Class,High,CUST-4490,Fatima Rana,New,36-45,Corporate,United States,Columbus,Ohio,43215.0,East,Corporate Portal,Credit Card,No,TEC-CO-3003,Technology,Copiers,Laser Copier,2689.73,7,0.1,545.46
60,CA-2025-100059,2025-10-13,2025-10-16,Same Day,Low,CUST-3535,Faraha Khan,5+ Years,18-25,Corporate,United States,Miami,Florida,33101.0,South,Online,PayPal,No,TEC-PR-3005,Technology,Printers,Inkjet Printer,290.94,1,0.3,-6.57
61,CA-2023-100060,2023-10-23,2023-10-28,Standard Class,Medium,CUST-5173,Hassaan Hassan,3-5 Years,18-25,Home Office,United States,Columbus,Ohio,43215.0,East,Retail Store,PayPal,No,FUR-TA-1002,Furniture,Tables,Executive Conference Table,4628.84,3,0.25,-401.99
62,CA-2024-100061,2024-12-20,2024-12-23,Same Day,Medium,CUST-2293,Faraha Iqbal,New,36-45,Home Office,United States,Richmond,Virginia,23219.0,South,Partner Reseller,Credit Card,No,FUR-TA-1002,Furniture,Tables,Executive Conference Table,449.17,1,0.4,-13.43
63,CA-2023-100062,2023-12-04,2023-12-08,Same Day,Medium,CUST-5769,Fatima Rana,New,26-35,Consumer,United States,Philadelphia,Pennsylvania,19104.0,East,Online,Cash on Delivery,No,TEC-CO-3003,Technology,Copiers,Laser Copier,3716.76,3,0.1,561.07
64,CA-2025-100063,2025-05-28,2025-05-30,Second Class,Medium,CUST-5796,Iqra Khan,1-2 Years,36-45,Consumer,United States,Boston,Massachusetts,2108.0,East,Corporate Portal,Credit Card,No,OFF-LA-2005,Office Supplies,Labels,Address Labels,5.0,1,0.2,0.28
65,CA-2025-100064,2025-12-12,2025-12-15,Same Day,Low,CUST-7871,Hamza Qureshi,1-2 Years,26-35,Consumer,United States,Minneapolis,Minnesota,55401.0,Central,Online,Credit Card,No,OFF-PA-2001,Office Supplies,Paper,Premium Copy Paper,136.53,7,0.25,3.78
66,CA-2025-100065,2025-03-02,2025-03-04,Same Day,Medium,CUST-3972,Rehan Nawaz,3-5 Years,46-60,Corporate,United States,Phoenix,Arizona,85001.0,West,Online,Credit Card,No,TEC-PH-3001,Technology,Phones,Smart Office Phone,2007.76,7,0.15,412.12
67,CA-2023-100066,2023-08-05,2023-08-06,Standard Class,Medium,CUST-4922,Danish Rauf,1-2 Years,46-60,Consumer,United States,Minneapolis,Minnesota,55401.0,Central,Online,Credit Card,Yes,TEC-MA-3004,Technology,Machines,Document Scanner,589.36,6,0.05,14.07
68,CA-2025-100067,2025-02-02,2025-02-07,Same Day,Medium,CUST-5997,Ayesha Siddiqui,1-2 Years,46-60,Consumer,United States,San Francisco,California,94102.0,West,Retail Store,PayPal,No,FUR-TA-1002,Furniture,Tables,Executive Conference Table,764.33,2,0.1,56.49
69,CA-2023-100068,2023-07-07,2023-07-12,Standard Class,Medium,CUST-8032,Danish Rauf,5+ Years,26-35,Home Office,United States,Chicago,Illinois,60601.0,Central,Retail Store,Cash on Delivery,No,FUR-BO-1003,Furniture,Bookcases,Wooden Bookcase,730.57,7,0.25,53.17
70,CA-2024-100069,2024-01-15,2024-01-20,Same Day,Medium,CUST-1992,Hassaan Hassan,1-2 Years,36-45,Corporate,United States,Minneapolis,Minnesota,55401.0,Central,Online,PayPal,No,OFF-BI-2002,Office Supplies,Binders,Heavy Duty Binder,114.38,4,0.0,29.57
71,CA-2024-100070,2024-05-07,2024-05-11,Same Day,Medium,CUST-9112,Ayesha Malik,1-2 Years,26-35,Corporate,United States,Nashville,Tennessee,37201.0,South,Corporate Portal,Cash on Delivery,No,OFF-AR-2004,Office Supplies,Art,Marker Set,8.45,3,0.3,1.55
72,CA-2025-100071,2025-11-30,2025-12-03,First Class,Medium,CUST-6287,Noor Iqbal,3-5 Years,46-60,Home Office,United States,Richmond,Virginia,23219.0,South,Retail Store,Credit Card,No,TEC-AC-3002,Technology,Accessories,Wireless Mouse,246.91,5,0.0,35.48
73,CA-2023-100072,2023-01-15,2023-01-22,Same Day,Medium,CUST-3240,Ayesha Siddiqui,3-5 Years,18-25,Consumer,United States,San Francisco,California,94102.0,West,Retail Store,Credit Card,Yes,TEC-MA-3004,Technology,Machines,Document Scanner,303.11,1,0.2,37.45
74,CA-2023-100073,2023-03-06,2023-03-10,First Class,Medium,CUST-2476,Ammar Chaudhry,3-5 Years,46-60,Home Office,United States,Phoenix,Arizona,85001.0,West,Online,Bank Transfer,No,OFF-BI-2002,Office Supplies,Binders,Heavy Duty Binder,27.6,1,0.15,-0.57
75,CA-2024-100074,2024-06-04,2024-06-08,Standard Class,Medium,CUST-7426,Abdullah Siddiqui,3-5 Years,26-35,Consumer,United States,Portland,Oregon,97201.0,West,Corporate Portal,PayPal,No,OFF-BI-2002,Office Supplies,Binders,Heavy Duty Binder,91.96,6,0.2,18.47
76,CA-2024-100075,2024-10-09,2024-10-10,Second Class,Low,CUST-1389,Noor Iqbal,1-2 Years,46-60,Home Office,United States,San Francisco,California,94102.0,West,Online,Credit Card,No,OFF-ST-2003,Office Supplies,Storage,Plastic Storage Box,92.0,2,0.1,3.43
77,CA-2024-100076,2024-08-15,2024-08-18,Same Day,Medium,CUST-1999,Hamza Attari,1-2 Years,36-45,Corporate,United States,Seattle,Washington,98101.0,West,Online,Cash on Delivery,No,FUR-FU-1004,Furniture,Furnishings,Desk Lamp,291.98,4,0.3,-15.04
78,CA-2024-100077,2024-01-27,2024-01-30,First Class,Medium,CUST-2855,Abdullah Ahmed,New,26-35,Home Office,United States,Seattle,Washington,98101.0,West,Online,Bank Transfer,No,FUR-FU-1004,Furniture,Furnishings,Desk Lamp,61.24,3,0.15,1.13
79,CA-2024-100078,2024-02-23,2024-02-26,Second Class,Medium,CUST-9125,Zain Siddiqui,3-5 Years,46-60,Home Office,United States,Nashville,Tennessee,37201.0,South,Online,Cash on Delivery,No,TEC-PH-3001,Technology,Phones,Smart Office Phone,1006.16,7,0.0,121.39
80,CA-2023-100079,2023-10-16,2023-10-20,Second Class,Medium,CUST-9850,Danish Siddiqui,New,26-35,Consumer,United States,New York City,New York,10001.0,East,Corporate Portal,Credit Card,No,OFF-LA-2005,Office Supplies,Labels,Address Labels,70.16,9,0.15,5.19
81,CA-2024-100080,2024-01-14,2024-01-18,First Class,Medium,CUST-3763,Noor Azeem,New,60+,Home Office,United States,Minneapolis,Minnesota,55401.0,Central,Online,Bank Transfer,Yes,OFF-AR-2004,Office Supplies,Art,Marker Set,73.08,8,0.0,-8.42
82,CA-2023-100081,2023-08-19,2023-08-24,Second Class,Medium,CUST-4663,Iqra Khan,5+ Years,46-60,Consumer,United States,Houston,Texas,77001.0,Central,Online,PayPal,No,TEC-PH-3001,Technology,Phones,Smart Office Phone,345.44,2,0.0,31.51
83,CA-2025-100082,2025-10-14,2025-10-20,First Class,Medium,CUST-5986,Mariam Nawaz,1-2 Years,60+,Consumer,United States,San Francisco,California,94102.0,West,Corporate Portal,PayPal,No,OFF-ST-2003,Office Supplies,Storage,Plastic Storage Box,40.0,2,0.05,4.24
84,CA-2023-100083,2023-02-10,2023-02-16,Standard Class,Medium,CUST-2481,Rehan Azeem,New,18-25,Consumer,United States,Phoenix,Arizona,85001.0,West,Retail Store,Credit Card,No,FUR-TA-1002,Furniture,Tables,Executive Conference Table,421.47,3,0.25,43.07
85,CA-2025-100084,2025-11-17,2025-11-22,Same Day,High,CUST-8256,Noor Azeem,New,26-35,Home Office,United States,Seattle,Washington,98101.0,West,Retail Store,Cash on Delivery,No,OFF-AR-2004,Office Supplies,Art,Marker Set,10.69,1,0.1,0.72
86,CA-2023-100085,2023-05-15,2023-05-24,Same Day,High,CUST-4731,Ahmed Butt,1-2 Years,36-45,Home Office,United States,Philadelphia,Pennsylvania,19104.0,East,Online,PayPal,No,OFF-LA-2005,Office Supplies,Labels,Address Labels,8.49,1,0.15,1.21
87,CA-2023-100086,2023-07-20,2023-07-21,Second Class,High,CUST-8262,Iqra Khan,1-2 Years,60+,Consumer,United States,Boston,Massachusetts,2108.0,East,Retail Store,Credit Card,No,OFF-LA-2005,Office Supplies,Labels,Address Labels,14.53,4,0.05,0.6
88,CA-2025-100087,2025-02-18,2025-02-20,Same Day,High,CUST-1451,Omar Nawaz,New,18-25,Corporate,United States,Boston,Massachusetts,2108.0,East,Online,Credit Card,No,TEC-AC-3002,Technology,Accessories,Wireless Mouse,273.79,4,0.0,23.91
89,CA-2025-100088,2025-07-18,2025-07-19,First Class,Medium,CUST-4093,Mariam Qureshi,New,18-25,Consumer,United States,Atlanta,Georgia,30301.0,South,Partner Reseller,Bank Transfer,No,FUR-TA-1002,Furniture,Tables,Executive Conference Table,5500.0,11,0.3,-53.3
90,CA-2025-100089,2025-11-22,2025-11-27,First Class,Low,CUST-1882,Fatima Malik,1-2 Years,26-35,Corporate,United States,St. Louis,Missouri,63101.0,Central,Retail Store,Bank Transfer,No,OFF-LA-2005,Office Supplies,Labels,Address Labels,16.9,2,0.15,3.51
91,CA-2025-100090,2025-12-07,2025-12-14,Same Day,Medium,CUST-5408,Abdullah Qureshi,1-2 Years,46-60,Home Office,United States,Phoenix,Arizona,85001.0,West,Retail Store,PayPal,No,OFF-PA-2001,Office Supplies,Paper,Premium Copy Paper,73.18,2,0.3,1.52
92,CA-2024-100091,2024-05-17,2024-05-19,First Class,Medium,CUST-5068,Ayesha Khan,New,46-60,Corporate,United States,Newark,New Jersey,7102.0,East,Online,Credit Card,No,TEC-PH-3001,Technology,Phones,Smart Office Phone,236.88,1,0.0,60.67
93,CA-2024-100092,2024-02-11,2024-02-19,Same Day,Medium,CUST-4277,Abdullah Hassan,1-2 Years,26-35,Consumer,United States,Boston,Massachusetts,2108.0,East,Online,Bank Transfer,No,FUR-BO-1003,Furniture,Bookcases,Wooden Bookcase,914.43,8,0.0,182.53
94,CA-2025-100093,2025-03-15,2025-03-16,First Class,High,CUST-9566,Faraha Iqbal,1-2 Years,18-25,Home Office,United States,Seattle,Washington,98101.0,West,Online,Bank Transfer,No,TEC-PR-3005,Technology,Printers,Inkjet Printer,2266.67,6,0.25,186.04
95,CA-2023-100094,2023-04-09,2023-04-17,Same Day,High,CUST-8951,Sara Attari,New,36-45,Corporate,United States,Charlotte,North Carolina,28201.0,South,Online,Credit Card,No,OFF-AR-2004,Office Supplies,Art,Marker Set,121.27,7,0.15,6.65
96,CA-2024-100095,2024-11-14,2024-11-17,Same Day,Medium,CUST-5690,Ahmed Ahmed,5+ Years,26-35,Consumer,United States,Houston,Texas,77001.0,Central,Online,Bank Transfer,No,TEC-MA-3004,Technology,Machines,Document Scanner,3234.76,8,0.0,736.77
97,CA-2024-100096,2024-12-26,2024-12-28,Second Class,Medium,CUST-5595,Mariam Qureshi,5+ Years,36-45,Consumer,United States,St. Louis,Missouri,63101.0,Central,Retail Store,Credit Card,No,TEC-MA-3004,Technology,Machines,Document Scanner,1636.21,4,0.0,395.97
